iata_code,icao_code,name,alias,
DU,NLH,Norwegian Long Haul,,"""DU""=>""Norwegian Long Haul"","
DV,VSV,SCAT Airlines,,"""DV""=>""SCAT Airlines"","
DW,GDE,Great Dane Airlines,,"""DW""=>""Great Dane Airlines"","
DX,DTR,Danish Air Transport,,"""DX""=>""Danish Air Transport"","
DY,NAX,Norwegian Air Shuttle (NAS),,"""DY""=>""Norwegian Air Shuttle (NAS)"","
DZ,,Donghai Airlines,,"""DZ""=>""Donghai Airlines"","
E2,EWE,Eurowings Europe,,"""E2""=>""Eurowings Europe"","
E3,VGO,New Gen Airways,Sabaidee Airways,"""E3""=>""New Gen Airways"","
E4,ENT,Enter Air,,"""E4""=>""Enter Air"","
E5,RBG,Air Arabia Egypt,,"""E5""=>""Air Arabia Egypt"","
E6,,Bringer Air Cargo,,"""E6""=>""Bringer Air Cargo"","
E7,,Equaflight Service,Fly European,"""E7""=>""Equaflight Service"","
E8,GTA,City Airways,,"""E8""=>""City Airways"","
E9,EVE,Evelop Airlines,,"""E9""=>""Evelop Airlines"","
EB,PLM,Wamos Air,Pullmantur Air,"""EB""=>""Wamos Air"","
EC,BOS,OpenSkies,,"""EC""=>""OpenSkies"","
ED,AXE,Air Explore,Airblue,"""ED""=>""Air Explore"","
EE,EST,Nordica,,"""EE""=>""Nordica"","
EF,,Fly CamInter,,"""EF""=>""Fly CamInter"","
EG,ETJ,East Air,Japan Asia,"""EG""=>""East Air"","
EH,AKX,ANA Wings,,"""EH""=>""ANA Wings"","
EI,EIN,Aer Lingus,,"""EI""=>""Aer Lingus"","
EJ,NEA,New England Airlines,New Englan,"""EJ""=>""New England Airlines"","
EK,UAE,Emirates,,"""EK""=>""Emirates"","
EL,ELB,Ellinair,,"""EL""=>""Ellinair"","
EM,,Aero Benin,,"""EM""=>""Aero Benin"","
EN,DLA,Air Dolomiti,Air Dolomiti,"""EN""=>""Air Dolomiti"","
EO,AGY,Air Go Egypt,,"""EO""=>""Air Go Egypt"","
EP,IRC,Iran Aseman Airlines,,"""EP""=>""Iran Aseman Airlines"","
EQ,TAE,TAME,TAME EP Línea Aérea del Ecuador,"""EQ""=>""TAME"","
ER,SEP,SereneAir,,"""ER""=>""SereneAir"","
ES,DHX,DHL International Aviation ME,,"""ES""=>""DHL International Aviation ME"","
ET,ETH,Ethiopian Airlines,,"""ET""=>""Ethiopian Airlines"","
EU,,Chengdu Airlines,Ecuatoriana,"""EU""=>""Chengdu Airlines"","
EV,ASQ,ExpressJet Airlines,,"""EV""=>""ExpressJet Airlines"","
EW,EWG,Eurowings,,"""EW""=>""Eurowings"","
EY,ETD,Etihad Airways,,"""EY""=>""Etihad Airways"","
EZ,SUS,Sun Air of Scandinavia,,"""EZ""=>""Sun Air of Scandinavia"","
F1,,Farelogix,,"""F1""=>""Farelogix"","
F2,XLK,Safarilink Aviation,,"""F2""=>""Safarilink Aviation"","
F3,FAD,Flyadeal,,"""F3""=>""Flyadeal"","
F4,WAF,Air Flamenco,Air Flamenco,"""F4""=>""Air Flamenco"","
F7,DWT,Etihad Regional,Darwin Airline,"""F7""=>""Etihad Regional"","
F8,FLE,Flair Airlines,,"""F8""=>""Flair Airlines"","
F9,FTT,Frontier Airlines,,"""F9""=>""Frontier Airlines"","
FA,SFR,Safair,,"""FA""=>""Safair"","
FB,LZB,Bulgaria Air,Balkan Air To,"""FB""=>""Bulgaria Air"","
FC,,Fly Corporate,,"""FC""=>""Fly Corporate"","
FD,AIQ,Thai AirAsia,,"""FD""=>""Thai AirAsia"","
FE,FEA,Far Eastern Air Transport,,"""FE""=>""Far Eastern Air Transport"","
FG,AFG,Ariana Afghan Airlines,Ariana,"""FG""=>""Ariana Afghan Airlines"","
FH,FHY,Freebird Airlines,Futura Intl,"""FH""=>""Freebird Airlines"","
FI,ICE,Icelandair,,"""FI""=>""Icelandair"","
FJ,FJI,Fiji Airways,Fiji Airways,"""FJ""=>""Fiji Airways"","
FK,KFA,Kelowna Flightcraft Air Charter,,"""FK""=>""Kelowna Flightcraft Air Charter"","
FL,TRS,Airtran Airways,,"""FL""=>""Airtran Airways"","
FM,CSH,Shanghai Airlines,,"""FM""=>""Shanghai Airlines"","
FN,FTZ,Fastjet,,"""FN""=>""Fastjet"","
FO,FXX,Felix Airways,,"""FO""=>""Felix Airways"","
FP,,Pelican Airlines,,"""FP""=>""Pelican Airlines"","
FR,RYR,Ryanair,,"""FR""=>""Ryanair"","
FT,FEG,FlyEgypt,,"""FT""=>""FlyEgypt"","
FU,FZA,Fuzhou Airlines,,"""FU""=>""Fuzhou Airlines"","
FV,SDM,Rossiya,,"""FV""=>""Rossiya"","
FW,IBX,Ibex Airlines,,"""FW""=>""Ibex Airlines"","
FX,FXA,Fedex,Express Air,"""FX""=>""Fedex"","
FY,FFM,Flyfirefly,,"""FY""=>""Flyfirefly"","
FZ,FDB,flydubai,Dubai Aviation Corporation,"""FZ""=>""flydubai"","
G2,,Galeyr Airline,,"""G2""=>""Galeyr Airline"","
G3,GLO,Gol Transportes Aéreos,,"""G3""=>""Gol Transportes Aéreos"","
G4,AAY,Allegiant Air,,"""G4""=>""Allegiant Air"","
G5,HXA,China Express Airlines,,"""G5""=>""China Express Airlines"","
G6,DNM,Denim Air,,"""G6""=>""Denim Air"","
G7,GJS,GoJet Airlines,,"""G7""=>""GoJet Airlines"","
G8,GOW,GoAir,,"""G8""=>""GoAir"","
G9,ABY,Air Arabia,,"""G9""=>""Air Arabia"","
GA,GIA,Garuda Indonesia,,"""GA""=>""Garuda Indonesia"","
GB,ABX,ABX Air,,"""GB""=>""ABX Air"","
GC,,Global Feeder Services,,"""GC""=>""Global Feeder Services"","
GE,TNA,TransAsia Airways,,"""GE""=>""TransAsia Airways"","
GF,GFA,Gulf Air,,"""GF""=>""Gulf Air"","
GG,KYE,Sky Lease Cargo,,"""GG""=>""Sky Lease Cargo"","
GH,GHA,Globus,Ghana Air,"""GH""=>""Globus"","
GI,IKA,Itek Air,,"""GI""=>""Itek Air"","
GJ,CDC,Zhejiang Loong Airlines,Eurofly,"""GJ""=>""Zhejiang Loong Airlines"","
GK,,Jetstar Japan,,"""GK""=>""Jetstar Japan"","
GL,GRL,Air Greenland,,"""GL""=>""Air Greenland"","
GM,GSW,Germania Flug,,"""GM""=>""Germania Flug"","
GO,GOE,Go,,"""GO""=>""Go"","
GP,RIV,APG Airlines,,"""GP""=>""APG Airlines"","
GQ,SEH,Sky Express,,"""GQ""=>""Sky Express"","
GR,AUR,Aurigny Air Services,,"""GR""=>""Aurigny Air Services"","
GS,GCR,Tianjin Airlines,,"""GS""=>""Tianjin Airlines"","
GT,CGH,Air Guilin,,"""GT""=>""Air Guilin"","
GU,GUG,Aviateca,,"""GU""=>""Aviateca"","
GV,SWV,Grant Aviation,,"""GV""=>""Grant Aviation"","
GW,SKG,SkyGreece Airlines,,"""GW""=>""SkyGreece Airlines"","
GX,,Guangxi Beibu Gulf Airlines,,"""GX""=>""Guangxi Beibu Gulf Airlines"","
GY,,Colorful Guizhou Airlines,,"""GY""=>""Colorful Guizhou Airlines"","
GZ,,Air Rarotonga,,"""GZ""=>""Air Rarotonga"","
H1,,Hahn Air Systems,,"""H1""=>""Hahn Air Systems"","
H2,SKU,Sky Airline,,"""H2""=>""Sky Airline"","
H3,HES,Harbour Air,,"""H3""=>""Harbour Air"","
H4,AEH,Aero4M,,"""H4""=>""Aero4M"","
H6,BUC,Bulgarian Air Charter,,"""H6""=>""Bulgarian Air Charter"","
H7,EGU,Eagle Air,,"""H7""=>""Eagle Air"","
H8,,Chilejet,,"""H8""=>""Chilejet"","
H9,HIM,Himalaya Airlines,,"""H9""=>""Himalaya Airlines"","
HA,HAL,Hawaiian Airlines,,"""HA""=>""Hawaiian Airlines"","
HB,AAQ,Asia Atlantic Airlines,,"""HB""=>""Asia Atlantic Airlines"","
HC,SZN,Air Senegal,,"""HC""=>""Air Senegal"","
HD,ADO,Air Do,Hokkaido International Airlines,"""HD""=>""Air Do"","
HE,,LGW Luftfahrtges Walter,,"""HE""=>""LGW Luftfahrtges Walter"","
HF,,Air Cote D Ivoire,Aircoteivoire,"""HF""=>""Air Cote D Ivoire"","
HH,TBM,Taban Airlines,,"""HH""=>""Taban Airlines"","
HI,,Papillon Airways,Papillonair,"""HI""=>""Papillon Airways"","
HJ,HEJ,Hellas Jet,Hellenic Star,"""HJ""=>""Hellas Jet"","
HK,,Skippers Aviation,,"""HK""=>""Skippers Aviation"","
HM,SEY,Air Seychelles,,"""HM""=>""Air Seychelles"","
HN,,Afghan Jet International,,"""HN""=>""Afghan Jet International"","
HO,DKH,Juneyao Airlines,,"""HO""=>""Juneyao Airlines"","
HP,APF,Amapola Flyg,,"""HP""=>""Amapola Flyg"","
HQ,TCW,Thomas Cook Airlines Belgium,Harmony Air,"""HQ""=>""Thomas Cook Airlines Belgium"","
HR,HHN,Hahn Air,,"""HR""=>""Hahn Air"","
HS,HLI,Heli Sécurité,,"""HS""=>""Heli Sécurité"","
HU,CHH,Hainan Airlines,,"""HU""=>""Hainan Airlines"","
HV,TRA,Transavia Airlines,,"""HV""=>""Transavia Airlines"","
HW,,North Wright Air,North Wright,"""HW""=>""North Wright Air"","
HX,CRK,Hong Kong Airlines,,"""HX""=>""Hong Kong Airlines"","
HY,UZB,Uzbekistan Airways,,"""HY""=>""Uzbekistan Airways"","
HZ,SHU,Aurora Airlines,SAT Airlines,"""HZ""=>""Aurora Airlines"","
I1,,CTS Viaggi,,"""I1""=>""CTS Viaggi"","
I2,IBS,Iberia Express,,"""I2""=>""Iberia Express"","
I3,TBZ,ATA Airlines,,"""I3""=>""ATA Airlines"","
I4,,Scott Air,,"""I4""=>""Scott Air"","
I5,,AirAsia India,,"""I5""=>""AirAsia India"","
I6,MPK,Air Indus,,"""I6""=>""Air Indus"","
I7,IIA,Int'Air Îles,Int'Air Iles,"""I7""=>""Int'Air Îles"","
I8,IZA,Izhavia,Aboriginalair,"""I8""=>""Izhavia"","
IA,IAW,Iraqi Airways,,"""IA""=>""Iraqi Airways"","
IB,IBE,Iberia,,"""IB""=>""Iberia"","
IC,,Nacil Indian Airline,,"""IC""=>""Nacil Indian Airline"","
ID,BTK,Batik Air,,"""ID""=>""Batik Air"","
IE,SOL,Solomon Airlines,Solomon Air,"""IE""=>""Solomon Airlines"","
IF,FBA,FlyBaghdad,,"""IF""=>""FlyBaghdad"","
IG,ISS,Air Italy,,"""IG""=>""Air Italy"","
IH,MZA,Jsc Irtysh Air,Falcon Air,"""IH""=>""Jsc Irtysh Air"","
II,CSQ,IBC Airways,,"""II""=>""IBC Airways"","
IJ,,Spring Airlines Japan,,"""IJ""=>""Spring Airlines Japan"","
IK,AKL,Air Kiribati,,"""IK""=>""Air Kiribati"","
IL,,Trigana Air Service,Istanbul Air,"""IL""=>""Trigana Air Service"","
IM,,Mint Líneas Aéreas,Intensive Air,"""IM""=>""Mint Líneas Aéreas"","
IN,NIH,NAM Air,,"""IN""=>""NAM Air"","
IO,IAE,IrAero,,"""IO""=>""IrAero"","
IP,IWD,Iberworld Airlines,Atyrauauejoly,"""IP""=>""Iberworld Airlines"","
IQ,,Qazaq Air,,"""IQ""=>""Qazaq Air"","
IR,IRA,Iran Air,,"""IR""=>""Iran Air"","
IS,PNX,AIS Airlines,,"""IS""=>""AIS Airlines"","
IT,TTW,Tigerair Taiwan,,"""IT""=>""Tigerair Taiwan"","
IU,ASN,Hevilift,Air Straubing,"""IU""=>""Hevilift"","
IV,,Air Djibouti,,"""IV""=>""Air Djibouti"","
IW,WON,Wings Air,,"""IW""=>""Wings Air"","
IX,AXB,Air India Express,,"""IX""=>""Air India Express"","
IY,IYE,Yemen Airways,,"""IY""=>""Yemen Airways"","
IZ,AIZ,Arkia,Arkia Israeli,"""IZ""=>""Arkia"","
J0,,Jetlink Express,,"""J0""=>""Jetlink Express"","
J1,,OntJet,,"""J1""=>""OntJet"","
J2,AHY,Azerbaijan Airlines,,"""J2""=>""Azerbaijan Airlines"","
J3,PLR,Northwestern Air Lease,Nw Air Lease,"""J3""=>""Northwestern Air Lease"","
J4,BDR,Badr Airlines,,"""J4""=>""Badr Airlines"","
J5,,Alaska Seaplane Service,Stock Sochi,"""J5""=>""Alaska Seaplane Service"","
J6,OPS,Jet-Ops,Seawings,"""J6""=>""Jet-Ops"","
J7,ABS,Afrijet Business Service,,"""J7""=>""Afrijet Business Service"","
J8,BVT,Berjaya Air,,"""J8""=>""Berjaya Air"","
J9,,Jazeera Airways,,"""J9""=>""Jazeera Airways"","
JA,,Jetsmart,,"""JA""=>""Jetsmart"","
JB,JBA,Helijet International,Helijet,"""JB""=>""Helijet International"","
JC,JAC,Japan Air Commuter,,"""JC""=>""Japan Air Commuter"","
JD,CBJ,Beijing Capital Airlines,,"""JD""=>""Beijing Capital Airlines"","
JE,MNO,Mango,,"""JE""=>""Mango"","
JF,JAA,Jet Asia Airways,,"""JF""=>""Jet Asia Airways"","
JG,,Jetgo Australia,,"""JG""=>""Jetgo Australia"","
JH,FDA,Fuji Dream Airlines,Nordeste,"""JH""=>""Fuji Dream Airlines"","
JI,,Eastern Caribbean Airlines,,"""JI""=>""Eastern Caribbean Airlines"","
JJ,TAM,LATAM Brasil,,"""JJ""=>""LATAM Brasil"","
JL,JAL,Japan Airlines,JAL,"""JL""=>""Japan Airlines"","
JM,KQA,Jambojet,,"""JM""=>""Jambojet"","
JO,JTG,Jet Time,Jalways,"""JO""=>""Jet Time"","
JQ,JST,Jetstar,Jetstar Airways,"""JQ""=>""Jetstar"","
JR,JOY,Joy Air,,"""JR""=>""Joy Air"","
JS,KOR,Air Koryo,Kor Air Dpr,"""JS""=>""Air Koryo"","
JT,LNI,Lion Air,,"""JT""=>""Lion Air"","
JU,ASL,Air Serbia,,"""JU""=>""Air Serbia"","
JV,BLS,Bearskin Airlines,,"""JV""=>""Bearskin Airlines"","
JW,VNL,Vanilla Air,,"""JW""=>""Vanilla Air"","
JX,,DAC East Africa,,"""JX""=>""DAC East Africa"","
JY,IWY,InterCaribbean Airways,Air Turcks,"""JY""=>""InterCaribbean Airways"","
K3,,Taquan Air Services,,"""K3""=>""Taquan Air Services"","
K4,,ALS,,"""K4""=>""ALS"","
K5,SQH,SeaPort,,"""K5""=>""SeaPort"","
K6,KHV,Cambodia Angkor Air,,"""K6""=>""Cambodia Angkor Air"","
K7,KBZ,Air KBZ,,"""K7""=>""Air KBZ"","
K8,KND,Kan Air,,"""K8""=>""Kan Air"","
K9,KFS,Kalitta Charters,,"""K9""=>""Kalitta Charters"","
KA,HDA,Cathay Dragon,,"""KA""=>""Cathay Dragon"","
KB,DRK,Druk Air,,"""KB""=>""Druk Air"","
KC,KZR,Air Astana,,"""KC""=>""Air Astana"","
KD,WGN,Western Global Airlines,,"""KD""=>""Western Global Airlines"","
KE,KAL,Korean Air,,"""KE""=>""Korean Air"","
KF,ABB,Air Belgium,,"""KF""=>""Air Belgium"","
KG,GTV,Aerogaviota,King Island,"""KG""=>""Aerogaviota"","
KH,AAH,Aloha Air Cargo,,"""KH""=>""Aloha Air Cargo"","
KI,,KrasAvia,,"""KI""=>""KrasAvia"","
KJ,IAH,Air Incheon,,"""KJ""=>""Air Incheon"","
KK,KKK,AtlasGlobal,,"""KK""=>""AtlasGlobal"","
KL,KLM,KLM,KLM Royal Dutch Airlines,"""KL""=>""KLM"","
KM,AMC,Air Malta,,"""KM""=>""Air Malta"","
KN,CUA,China United Airlines,,"""KN""=>""China United Airlines"","
KO,KMA,Komiaviatrans,,"""KO""=>""Komiaviatrans"","
KP,SKK,ASKY Airlines,,"""KP""=>""ASKY Airlines"","
KQ,KQA,Kenya Airways,,"""KQ""=>""Kenya Airways"","
KR,EAA,Air Bishkek,,"""KR""=>""Air Bishkek"","
KS,PEN,Penair,Pen Air,"""KS""=>""Penair"","
KT,,Fly Kiss,,"""KT""=>""Fly Kiss"","
KU,KAC,Kuwait Airways,,"""KU""=>""Kuwait Airways"","
KV,SKV,Sky Regional Airlines,,"""KV""=>""Sky Regional Airlines"","
KW,,Kharkiv Airlines,,"""KW""=>""Kharkiv Airlines"","
KX,CAY,Cayman Airways,,"""KX""=>""Cayman Airways"","
KY,KNA,Kunming Airlines,,"""KY""=>""Kunming Airlines"","
KZ,NCA,Nippon Cargo Airlines,,"""KZ""=>""Nippon Cargo Airlines"","
L1,,E Savtravel,,"""L1""=>""E Savtravel"","
L3,,Lynx Aviation,Ltu Billa Luf,"""L3""=>""Lynx Aviation"","
L4,,Air Service Liege (ASL),,"""L4""=>""Air Service Liege (ASL)"","
L5,TLB,Atlantique Air Assistance,,"""L5""=>""Atlantique Air Assistance"","
L6,,Mauritanian Airlines Int,,"""L6""=>""Mauritanian Airlines Int"","
L7,LHS,Lugansk Airlines,,"""L7""=>""Lugansk Airlines"","
L8,,Afric Aviation,,"""L8""=>""Afric Aviation"","
L9,BAL,Belle Air Europe,,"""L9""=>""Belle Air Europe"","
LA,LAN,LATAM Chile,,"""LA""=>""LATAM Chile"","
LB,,Air Costa,,"""LB""=>""Air Costa"","
LC,PTI,ECAir,,"""LC""=>""ECAir"","
LF,VTE,Corporate Flight Management,,"""LF""=>""Corporate Flight Management"","
LG,LGL,Luxair,Luxair,"""LG""=>""Luxair"","
LH,GEC,Lufthansa Cargo,,"""LH""=>""Lufthansa Cargo"","
LI,LIA,LIAT,,"""LI""=>""LIAT"","
LJ,JNA,Jin Air,,"""LJ""=>""Jin Air"","
LK,LLL,Lao Skyway,,"""LK""=>""Lao Skyway"","
LL,BSK,Miami Air International,,"""LL""=>""Miami Air International"","
LM,,Loganair,Livingston,"""LM""=>""Loganair"","
LN,LAA,Libyan Airlines,,"""LN""=>""Libyan Airlines"","
LO,LOT,LOT Polish Airlines,,"""LO""=>""LOT Polish Airlines"","
LP,LPE,LATAM Perú,,"""LP""=>""LATAM Perú"","
LQ,MKR,Lanmei Airlines,,"""LQ""=>""Lanmei Airlines"","
LR,LRC,Avianca Costa Rica,,"""LR""=>""Avianca Costa Rica"","
LS,EXS,Jet2.com,,"""LS""=>""Jet2.com"","
LT,SNG,Longjiang Airlines,,"""LT""=>""Longjiang Airlines"","
LU,LXP,LAN Express,,"""LU""=>""LAN Express"","
LV,,Level,,"""LV""=>""Level"","
LW,ANV,Pacific Wings,Air Nevada,"""LW""=>""Pacific Wings"","
LX,SWR,Swiss International Air Lines,Swiss,"""LX""=>""Swiss International Air Lines"","
LY,ELY,El Al,El Al Israel Airlines,"""LY""=>""El Al"","
LZ,SWU,Swiss Global Air Lines,,"""LZ""=>""Swiss Global Air Lines"","
M0,MNG,Aero Mongolia,,"""M0""=>""Aero Mongolia"","
M2,,MHS Aviation,,"""M2""=>""MHS Aviation"","
M3,NFA,Air Norway,,"""M3""=>""Air Norway"","
M4,MSA,Mistral Air,,"""M4""=>""Mistral Air"","
M5,KEN,Kenmore Air,,"""M5""=>""Kenmore Air"","
M6,AJT,Amerijet International,,"""M6""=>""Amerijet International"","
M8,MSJ,SKYJET Airlines,,"""M8""=>""SKYJET Airlines"","
M9,,Motor Sich Jsc,Motor Sich,"""M9""=>""Motor Sich Jsc"","
MB,MNB,Mng Airlines Cargo,,"""MB""=>""Mng Airlines Cargo"","
MC,,Air Mobility Command,,"""MC""=>""Air Mobility Command"","
MD,MDG,Air Madagascar,,"""MD""=>""Air Madagascar"","
ME,MEA,Middle East Airlines,,"""ME""=>""Middle East Airlines"","
MF,CXA,XiamenAir,,"""MF""=>""XiamenAir"","
MG,MGD,Miami Air Lease,,"""MG""=>""Miami Air Lease"","
MH,MAS,Malaysia Airlines,,"""MH""=>""Malaysia Airlines"","
MI,SLK,SilkAir,,"""MI""=>""SilkAir"","
MJ,MLR,Mihin Lanka,,"""MJ""=>""Mihin Lanka"","
MK,MAU,Air Mauritius,,"""MK""=>""Air Mauritius"","
MM,APJ,Peach Aviation,Medellin,"""MM""=>""Peach Aviation"","
MN,CAW,Comair,,"""MN""=>""Comair"","
MO,CAV,Calm Air International,,"""MO""=>""Calm Air International"","
MP,MPH,Martinair,,"""MP""=>""Martinair"","
MQ,ENY,Envoy Air,,"""MQ""=>""Envoy Air"","
MR,MML,Hunnu Air,Mongolian Air,"""MR""=>""Hunnu Air"","
MS,MSR,EgyptAir,,"""MS""=>""EgyptAir"","
MT,TCX,Thomas Cook Airlines,,"""MT""=>""Thomas Cook Airlines"","
MU,CES,China Eastern Airlines,,"""MU""=>""China Eastern Airlines"","
MW,MKL,Mokulele Airlines,,"""MW""=>""Mokulele Airlines"","
MY,MWG,MASwings,,"""MY""=>""MASwings"","
MZ,AHX,Amakusa Airlines,,"""MZ""=>""Amakusa Airlines"","
N2,,Dagestan Airlines,,"""N2""=>""Dagestan Airlines"","
N3,,Aerolineas Mas,Omskavia,"""N3""=>""Aerolineas Mas"","
N4,NWS,Nord Wind,,"""N4""=>""Nord Wind"","
N5,NRL,Nolinor Aviation,,"""N5""=>""Nolinor Aviation"","
N6,,Nomad Aviation,Aerocontinent,"""N6""=>""Nomad Aviation"","
N7,WBA,Nordic Regional Airlines,Norra,"""N7""=>""Nordic Regional Airlines"","
N8,MUA,National Airlines,,"""N8""=>""National Airlines"","
N9,NVR,Novair,,"""N9""=>""Novair"","
NA,,Nesma Airlines,,"""NA""=>""Nesma Airlines"","
NB,EAN,Skypower Express Airways,,"""NB""=>""Skypower Express Airways"","
NC,JTE,Cobham Aviation Services Australia,,"""NC""=>""Cobham Aviation Services Australia"","
ND,FMI,FMI Air,,"""ND""=>""FMI Air"","
NE,NMA,Nesma Airlines,,"""NE""=>""Nesma Airlines"","
NF,AVN,Air Vanuatu,,"""NF""=>""Air Vanuatu"","
NH,ANA,All Nippon Airways,ANA,"""NH""=>""All Nippon Airways"","
NI,PGA,Portugalia,Portugália–Companhia Portuguesa de Transportes Aéreos,"""NI""=>""Portugalia"","
NJ,,Niger Airways,,"""NJ""=>""Niger Airways"","
NK,NKS,Spirit Airlines,,"""NK""=>""Spirit Airlines"","
NL,SAI,Shaheen Air,,"""NL""=>""Shaheen Air"","
NM,,Manx,,"""NM""=>""Manx"","
NN,MOV,Vim Airlines,,"""NN""=>""Vim Airlines"","
NO,NOS,Neos,,"""NO""=>""Neos"","
NP,NIA,Nile Air,Nile Air,"""NP""=>""Nile Air"","
NQ,AJX,Air Japan,,"""NQ""=>""Air Japan"","
NR,MAV,Manta Air,,"""NR""=>""Manta Air"","
NS,,Hebei Airlines,Caucasus Air,"""NS""=>""Hebei Airlines"","
NT,IBB,Binter Canarias,,"""NT""=>""Binter Canarias"","
NU,JTA,Japan Transocean Air,Japan Transoc,"""NU""=>""Japan Transocean Air"","
NV,IRG,Iranian Naft Airline,,"""NV""=>""Iranian Naft Airline"","
NW,,Northwest Airlines,Nwest Airlines,"""NW""=>""Northwest Airlines"","
NX,AMU,Air Macau,,"""NX""=>""Air Macau"","
NY,FXI,Air Iceland,,"""NY""=>""Air Iceland"","
NZ,ANZ,Air New Zealand,,"""NZ""=>""Air New Zealand"","
O2,,Jet Air,Jet Air,"""O2""=>""Jet Air"","
O4,,Antrak Air,,"""O4""=>""Antrak Air"","
O5,KMZ,Comores Aviation International,,"""O5""=>""Comores Aviation International"","
O7,,Orenburg Region Airlines,,"""O7""=>""Orenburg Region Airlines"","
O9,NOV,Nova Airways,,"""O9""=>""Nova Airways"","
OA,OAL,Olympic Air,,"""OA""=>""Olympic Air"","
OB,BOV,Boliviana de Aviación (BoA),,"""OB""=>""Boliviana de Aviación (BoA)"","
OC,NGK,Oriental Air Bridge,Omni Aviacao,"""OC""=>""Oriental Air Bridge"","
OD,,Malindo Airways,,"""OD""=>""Malindo Airways"","
OE,LDM,Lauda,,"""OE""=>""Lauda"","
OF,OLA,Overland Airways,,"""OF""=>""Overland Airways"","
OG,AFN,Air Freight NZ,,"""OG""=>""Air Freight NZ"","
OH,JIA,PSA Airlines,,"""OH""=>""PSA Airlines"","
OI,HND,Hinterland Aviation,Italiatour,"""OI""=>""Hinterland Aviation"","
OJ,FJM,Fly Jamaica Airways,,"""OJ""=>""Fly Jamaica Airways"","
OK,CSA,Czech Airlines,,"""OK""=>""Czech Airlines"","
OL,PAO,Polynesian Airlines,,"""OL""=>""Polynesian Airlines"","
OM,MGL,Miat Mongolian Airlines,,"""OM""=>""Miat Mongolian Airlines"","
ON,RON,Nauru Airlines,Our Airline,"""ON""=>""Nauru Airlines"","
OO,SKW,SkyWest Airlines,,"""OO""=>""SkyWest Airlines"","
OP,PPL,Air Pegasus,,"""OP""=>""Air Pegasus"","
OQ,,Chongqing Airlines,,"""OQ""=>""Chongqing Airlines"","
OR,TFL,TUI Airlines Netherlands,,"""OR""=>""TUI Airlines Netherlands"","
OS,AUA,Austrian Airlines,,"""OS""=>""Austrian Airlines"","
OU,CTN,Croatia Airlines,,"""OU""=>""Croatia Airlines"","
OW,SEW,Skyward Express,,"""OW""=>""Skyward Express"","
OX,OEA,Orient Thai Airlines,,"""OX""=>""Orient Thai Airlines"","
OY,ANS,Andes Líneas Aéreas,,"""OY""=>""Andes Líneas Aéreas"","
OZ,AAR,Asiana Airlines,,"""OZ""=>""Asiana Airlines"","
P0,PFZ,Proflight Commuter,Proflight,"""P0""=>""Proflight Commuter"","
P1,,Publiccharters Com,Publiccharter,"""P1""=>""Publiccharters Com"","
P2,XAK,Airkenya Express,,"""P2""=>""Airkenya Express"","
